Algorithm,Adj_P,Adj_R,F1_Adj,Arrow_P,Arrow_R,F1_Arrow,SHD,Time(s),Edges,Error
"SVAR-FCI(α=0.01, p=2)",0.0,0.0,,0.0,0.0,,-99.0,0.015465974807739258,3.0,
"SVAR-GFCI(α=0.01, p=2)",0.0,0.0,,0.0,0.0,,-99.0,0.11738705635070801,2.0,
"LPCMCI-PARCORR(α=0.01, τ=2)",0.0,0.0,,0.0,0.0,,-99.0,0.7392539978027344,3.0,
"LPCMCI-CMI-KNN(α=0.01, τ=2)",0.0,0.0,,0.0,0.0,,-99.0,8450.644471645355,1.0,
"LPCMCI-GPDC(α=0.01, τ=2)",0.0,0.0,,0.0,0.0,,-99.0,2651.2922949790955,3.0,
"LPCMCI-GPDC(α=0.01, τ=2)",0.0,0.0,,0.0,0.0,,-99.0,2369.4890649318695,3.0,
PC(α=0.01),0.2857142857142857,1.0,0.4444444444444445,,0.0,,-99.0,0.05253911018371582,28.0,
FCI(α=0.01),0.2857142857142857,1.0,0.4444444444444445,,0.0,,-99.0,0.0040760040283203125,28.0,
GES(local_score_BIC),0.2857142857142857,1.0,0.4444444444444445,,0.0,,-99.0,0.014799118041992188,28.0,
"tsFCI(α=0.01, τ=2)",0.0,0.0,,0.0,0.0,,-99.0,1.9553577899932861,3.0,
Tetrad-PC(α=0.01),,,,,,,,,,'module' object is not callable
Tetrad-FCI(α=0.01),,,,,,,,,,'module' object is not callable
Tetrad-FGES(pd=1.0),,,,,,,,,,'module' object is not callable
